performance_rank,light_penalty_rank,ranking_method,config_key,n_bootstraps,possessions_per_bootstrap,samples_per_possession,n_profile_scope_results,n_profiles,n_scopes,mean_whole_grid_cosine,median_whole_grid_cosine,minimum_whole_grid_cosine,maximum_whole_grid_cosine,mean_lightly_penalized_whole_grid_cosine,median_lightly_penalized_whole_grid_cosine,minimum_lightly_penalized_whole_grid_cosine,maximum_lightly_penalized_whole_grid_cosine,mean_moderately_penalized_whole_grid_cosine,median_moderately_penalized_whole_grid_cosine,minimum_moderately_penalized_whole_grid_cosine,maximum_moderately_penalized_whole_grid_cosine,mean_support_cosine,mean_outside_energy_fraction,mean_recovered_dynamic_range,qut_rejection_rate,mean_p_value,mean_lambda_qut,mean_lambda_max_obs,mean_lambda_ci_width,mean_lambda_bootstrap_std,expected_profile_scope_results,coverage_fraction,complete_coverage
1,1,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p02500_s250,50,2500,250,20,4,5,0.9114360010420391,0.9236078231472099,0.7582877615330628,0.9878890001445026,0.8741128642858195,0.9001123063793812,0.690463687705132,0.9841997307641185,0.8394664145860764,0.8746769630450584,0.6287060509529051,0.9805242389524278,0.9517046061096792,0.08257724309673382,0.25984513231087475,1.0,0.0,26.414749110264218,174.7929906292105,30.694511902650543,8.527451303394141,20,1.0,True
2,2,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p01000_s250,50,1000,250,20,4,5,0.9110430391451958,0.9308001996123952,0.708023621717836,0.990745659619087,0.8735130122860705,0.9141833587600809,0.6199833302336246,0.9881330899493781,0.8393866808513964,0.8909591953755724,0.5428905448591936,0.9856628539497992,0.9524149552052485,0.08463906875198589,0.19991929133422673,1.0,0.0,16.40494700749282,67.23082648182498,19.635766029460818,5.513860548393654,20,1.0,True
3,3,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p02500_s250,100,2500,250,20,4,5,0.9104018951899796,0.9229931663952844,0.7595682669915219,0.987161296586754,0.8727602417409204,0.898600873224598,0.6906675014229255,0.9828134897525784,0.8378459333770649,0.8714276518937063,0.6280167540584094,0.9784848321945471,0.9510466519910319,0.08339381963497156,0.26043705717660487,1.0,0.0,26.414749110264218,174.7929906292105,32.04370536077376,8.445196065251258,20,1.0,True
4,4,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p01000_s200,100,1000,200,20,4,5,0.9106471610388762,0.9273291783899374,0.7245773412771608,0.9886749195524345,0.8724955215547057,0.9092239715067818,0.6343174237166785,0.9847559721357918,0.8377831910027315,0.8901780025674643,0.5553010991502378,0.9808525587926352,0.9526737938828918,0.08573043577782472,0.20223155246814714,1.0,0.0,16.208300596271762,67.50331986404542,19.093485469046318,4.948112145698832,20,1.0,True
5,5,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p01000_s250,100,1000,250,20,4,5,0.9103860340043548,0.9285764913880291,0.7182971087025807,0.9914510838025085,0.8721712138903432,0.912783017869897,0.6260785637987669,0.9889768703023751,0.8374978586687323,0.8909454688873256,0.5456994930083009,0.986508831320122,0.9526059902041657,0.08612430145365578,0.1994662081077695,1.0,0.0,16.40494700749282,67.23082648182498,20.206202263280485,5.469977397168768,20,1.0,True
6,8,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p01000_s150,50,1000,150,20,4,5,0.9083904200572865,0.9227191820116927,0.7211487356597645,0.9878900005658043,0.8701534896309056,0.9044263924544453,0.6252769771881114,0.9845262105399141,0.8354659565424104,0.8813166657972544,0.5421507088184938,0.9811738743027368,0.9506338513533767,0.08647839690315781,0.20365674078697338,1.0,0.0,16.135313253161797,64.37417086911766,17.83493493515676,4.914326195313024,20,1.0,True
7,6,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p01000_s200,50,1000,200,20,4,5,0.9099593842127112,0.9282408458511564,0.7204889289758226,0.9883335762897518,0.8708497191822955,0.9071155663846271,0.6306590029743158,0.9841015406722922,0.8353527673534911,0.8871088368590887,0.5520289931421064,0.9798876265938525,0.9531568819529943,0.08789823916626394,0.20234824284911154,1.0,0.0,16.208300596271762,67.50331986404542,19.40354361919956,5.173101481562836,20,1.0,True
8,11,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p01000_s150,100,1000,150,20,4,5,0.9080024859323572,0.923532013479426,0.7078651599077496,0.9886622331843127,0.8698546706501521,0.9073365677677709,0.6157556580626188,0.9853491734160235,0.835259905077524,0.8846182140841261,0.535631716195131,0.9820472158873664,0.9501649460658215,0.08635195607042442,0.20322688861750066,1.0,0.0,16.135313253161797,64.37417086911766,18.38318298141704,4.918290797720002,20,1.0,True
9,10,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b010_p01000_s150,10,1000,150,20,4,5,0.9086065368741005,0.9263450740852297,0.7250714069410806,0.9899336072575372,0.8698886949029616,0.9144061839873932,0.6259916921375808,0.9867956080362754,0.8349366516482899,0.8975616843456575,0.5404510436819843,0.9836675559862585,0.9516114365971914,0.08774462122430922,0.2066942052729428,1.0,0.0,16.135313253161797,64.37417086911766,14.314622944791685,5.057499265013433,20,1.0,True
10,7,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b010_p01000_s250,10,1000,250,20,4,5,0.9099118718534849,0.9344625708661438,0.7474425656338861,0.9940950951564446,0.8703303034268519,0.9055711241996571,0.6588629918752055,0.9935558538435864,0.8344767108134967,0.8769342495476837,0.5807810018079423,0.9930169050391561,0.9537181676568917,0.08889255585038697,0.19858728168997913,1.0,0.0,16.40494700749282,67.23082648182498,15.635947659197058,5.438223758521682,20,1.0,True
