profile,profile_rank,light_penalty_rank,ranking_method,config_key,n_bootstraps,possessions_per_bootstrap,samples_per_possession,n_scope_results,mean_whole_grid_cosine,median_whole_grid_cosine,minimum_whole_grid_cosine,maximum_whole_grid_cosine,mean_lightly_penalized_whole_grid_cosine,median_lightly_penalized_whole_grid_cosine,minimum_lightly_penalized_whole_grid_cosine,maximum_lightly_penalized_whole_grid_cosine,mean_moderately_penalized_whole_grid_cosine,median_moderately_penalized_whole_grid_cosine,minimum_moderately_penalized_whole_grid_cosine,maximum_moderately_penalized_whole_grid_cosine,mean_support_cosine,mean_outside_energy_fraction,mean_recovered_dynamic_range,qut_rejection_rate,mean_p_value,mean_lambda_qut,mean_lambda_max_obs,mean_lambda_ci_width,mean_lambda_bootstrap_std,expected_scope_results,coverage_fraction,complete_coverage
high_y_side,1,1,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b010_p00100_s200,10,100,200,5,0.9695739100702641,0.9700276043319046,0.9266109409549264,0.9980018481643254,0.9551197386957135,0.9603537961681121,0.886163275856589,0.9976918981360139,0.9410906165915331,0.9535572823137507,0.8474811992480888,0.9973820443690673,0.984470112187999,0.03005045975428868,0.10679074298590421,1.0,0.0,5.169413277773837,9.20736827180537,3.9449068301788612,1.3105720271848054,5,1.0,True
high_y_side,2,2,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p00100_s200,50,100,200,5,0.9706139792115962,0.9833368925780974,0.9211501768716748,0.9899226284935987,0.9507438397670439,0.9744025479936058,0.8593006464113941,0.9886878926842441,0.9318099192306871,0.9655493785524013,0.8016039289388376,0.9874546969674937,0.991481901355588,0.04117259601197446,0.10512916347943246,1.0,0.0,5.169413277773837,9.20736827180537,5.317165739277252,1.458417343444765,5,1.0,True
high_y_side,3,3,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p00100_s200,100,100,200,5,0.9700597573381069,0.9754833234000388,0.9258229367343949,0.9921759047629188,0.9499080237886796,0.9611992813369424,0.8660851393727907,0.9912563079019974,0.930641480901615,0.9471984859982024,0.8102018635314714,0.9903375633681508,0.99115155655419,0.041650523064717435,0.10495607615448535,1.0,0.0,5.169413277773837,9.20736827180537,5.697566834825788,1.5379088624972488,5,1.0,True
high_y_side,4,4,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p00100_s250,100,100,250,5,0.9675640104227765,0.9780831502430506,0.9317763255066316,0.9903279799205212,0.9485828149495734,0.9620629134998436,0.8811634474915618,0.9894538929825476,0.9302956634601369,0.9463050757001669,0.8332997951767432,0.9885805775344143,0.9872734353461882,0.039273885498362276,0.10333674336317926,1.0,0.0,5.3507854184089165,8.580454247076807,5.815999979754594,1.525915384404991,5,1.0,True
high_y_side,5,5,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p00100_s250,50,100,250,5,0.9654334103831701,0.9725617644517134,0.9336325292145562,0.9901717490389664,0.9446559790511883,0.9520746194711653,0.886997363249612,0.9874714457825743,0.9245525270204892,0.9320190389678518,0.8426916348701464,0.9847785065392268,0.9869133416988859,0.04290245724093568,0.10246952764224262,1.0,0.0,5.3507854184089165,8.580454247076807,5.723306954309782,1.5424026840650822,5,1.0,True
high_y_side,6,6,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p00100_s150,100,100,150,5,0.9629499431318266,0.9600055939824217,0.9333137830051568,0.9893884395928263,0.9406188174923079,0.9470447160573271,0.8761067371153098,0.988730069506462,0.9193103731663059,0.9342588208173774,0.8224061712100459,0.9880721375201941,0.9863613872863322,0.04624781569913699,0.10203200542367993,1.0,0.002,5.096654821814752,8.733274640724861,5.466349601004806,1.4791723802362062,5,1.0,True
high_y_side,7,7,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b010_p00100_s100,10,100,100,5,0.9593337791817511,0.971500907800192,0.9234242773001187,0.9860023575962468,0.937032536902452,0.9493821862594243,0.8952488419693453,0.9814290763654347,0.9153815285728804,0.9265463549168514,0.8679330928907025,0.9768770069512629,0.9823068173666343,0.04625078336061802,0.09410685641458258,1.0,0.006,4.873818372932947,7.721970257672851,3.1429282417658775,1.0839788782222353,5,1.0,True
high_y_side,8,8,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p00100_s100,50,100,100,5,0.9615684209895046,0.9551212713103487,0.9340865727133767,0.9897792428111752,0.9369981206791721,0.9359543587499254,0.8815068201305502,0.9890711342702788,0.9134666173452773,0.9171720785373868,0.8318867829129069,0.9883635323248776,0.987230375485663,0.05087388373782009,0.09872110770549625,1.0,0.006,4.873818372932947,7.721970257672851,4.695052579255235,1.2572184340650512,5,1.0,True
high_y_side,9,9,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b100_p00100_s100,100,100,100,5,0.9604327572307355,0.9659432755533494,0.9327446425213953,0.9902619551137869,0.9360416893247001,0.9530881858364276,0.8842060659187801,0.9897030413960645,0.9127570083629806,0.9404041758669531,0.8365036845417685,0.9891444431348151,0.9859900365197515,0.05067330628066361,0.09890701803378761,1.0,0.006,4.873818372932947,7.721970257672851,5.244542395052444,1.3385808188437234,5,1.0,True
high_y_side,10,10,"primary performance rank: descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S. light_penalty_rank applies the same deterministic rule with the light score first.",b050_p01000_s250,50,1000,250,5,0.9545011470810723,0.976888463676331,0.8713405299567125,0.990745659619087,0.9317490094476548,0.9544812781658459,0.8048932170378831,0.9881330899493781,0.9101916845992797,0.9325880530317706,0.7435130911054689,0.9856628539497992,0.9785357018733777,0.04876672108822052,0.22638928778469564,1.0,0.0,16.868634772544176,87.53334935529136,19.20086748525498,5.384145992965352,5,1.0,True
